tanggal,kategori,nama_produk,kuantitas,hpp,pemasukan,pengeluaran,jenis_pengeluaran,jumlah_pelanggan,catatan
2026-02-16,Pesanan Grosir,Keripik Singkong Balado,2,8000,30000,0,,1,Beli Langsung
2026-02-18,Pesanan Grosir,Keripik Kaca Pedas Nampol,3,10000,54000,0,,3,Sales E-Commerce
2026-02-18,E-Commerce,Stik Keju Premium,3,13000,72000,0,,3,Sales E-Commerce
2026-02-18,E-Commerce,Mie Lidi Jagung Bakar,1,5000,10000,0,,2,Beli Langsung
2026-02-18,Biaya Iklan,,0,0,0,401566,operasional,0,Bayar Biaya Iklan
2026-02-21,Penjualan B2C,Basreng Pedas Daun Jeruk,9,12000,180000,0,,1,Beli Langsung
2026-02-21,E-Commerce,Peyek Kacang Mini,4,8000,60000,0,,1,Beli Langsung
2026-02-21,Bahan Baku (Bogor),,0,0,0,557335,operasional,0,Bayar Bahan Baku (Bogor)
2026-02-22,Listrik & Air,,0,0,0,543739,operasional,0,Bayar Listrik & Air
2026-02-23,Biaya Iklan,,0,0,0,429897,operasional,0,Bayar Biaya Iklan
2026-02-24,Penjualan B2C,Mie Lidi Pedas Level 5,8,5000,80000,0,,3,Beli Langsung
2026-02-25,Penjualan B2C,Basreng Pedas Daun Jeruk,9,12000,180000,0,,3,Sales E-Commerce
2026-02-25,Biaya Iklan,,0,0,0,381391,operasional,0,Bayar Biaya Iklan
2026-02-27,E-Commerce,Makaroni Keju Premium,1,7500,15000,0,,3,Beli Langsung
2026-02-27,Bahan Kemasan (Pouch),,0,0,0,346042,modal,0,Restok Bahan Kemasan (Pouch)
2026-02-28,Biaya Iklan,,0,0,0,407539,operasional,0,Bayar Biaya Iklan
2026-03-01,Penjualan B2C,Keripik Kaca Original,4,10000,72000,0,,2,Beli Langsung
2026-03-01,Lainnya,,0,0,0,457991,lainnya,0,Bayar Lainnya
2026-03-02,Bahan Kemasan (Pouch),,0,0,0,363987,modal,0,Restok Bahan Kemasan (Pouch)
2026-03-03,Penjualan B2C,Makaroni Bantet Balado,2,6000,24000,0,,1,Beli Langsung
2026-03-03,Bahan Baku (Bogor),,0,0,0,539392,operasional,0,Bayar Bahan Baku (Bogor)
2026-03-04,Lainnya,,0,0,0,541617,lainnya,0,Bayar Lainnya
2026-03-05,Bahan Kemasan (Pouch),,0,0,0,510150,modal,0,Restok Bahan Kemasan (Pouch)
2026-03-06,Listrik & Air,,0,0,0,359391,operasional,0,Bayar Listrik & Air
2026-03-07,Pesanan Grosir,Seblak Kering Pedas,2,8500,32000,0,,1,Beli Langsung
2026-03-07,Biaya Iklan,,0,0,0,566944,operasional,0,Bayar Biaya Iklan
2026-03-09,Penjualan B2C,Keripik Singkong Original,9,8000,135000,0,,2,Sales E-Commerce
2026-03-09,Bahan Baku (Bogor),,0,0,0,472371,operasional,0,Bayar Bahan Baku (Bogor)
2026-03-10,E-Commerce,Keripik Singkong Original,4,8000,60000,0,,1,Sales E-Commerce
2026-03-11,Penjualan B2C,Keripik Singkong Balado,10,8000,150000,0,,2,Sales E-Commerce
2026-03-11,Bahan Baku (Bogor),,0,0,0,390165,operasional,0,Bayar Bahan Baku (Bogor)
2026-03-13,Pesanan Grosir,Basreng Original Gurih,10,12000,200000,0,,1,Beli Langsung
2026-03-13,Biaya Iklan,,0,0,0,599012,operasional,0,Bayar Biaya Iklan
2026-03-15,Pesanan Grosir,Keripik Singkong Original,4,8000,60000,0,,3,Sales E-Commerce
2026-03-15,Lainnya,,0,0,0,407150,lainnya,0,Bayar Lainnya
2026-03-16,Penjualan B2C,Stik Keju Premium,2,13000,48000,0,,3,Sales E-Commerce
2026-03-16,Bahan Baku (Bogor),,0,0,0,469121,operasional,0,Bayar Bahan Baku (Bogor)
2026-03-17,Listrik & Air,,0,0,0,533417,operasional,0,Bayar Listrik & Air
2026-03-18,Penjualan B2C,Peyek Kacang Mini,2,8000,30000,0,,1,Beli Langsung
2026-03-19,Biaya Iklan,,0,0,0,361666,operasional,0,Bayar Biaya Iklan
2026-03-20,Gaji Pegawai,,0,0,0,480292,operasional,0,Bayar Gaji Pegawai
2026-03-21,Gaji Pegawai,,0,0,0,362140,operasional,0,Bayar Gaji Pegawai
2026-03-22,Pesanan Grosir,Mie Lidi Pedas Level 5,6,5000,60000,0,,3,Beli Langsung
2026-03-23,Pesanan Grosir,Pilus Cikur Pedas,6,7000,84000,0,,2,Sales E-Commerce
2026-03-23,Gaji Pegawai,,0,0,0,581604,operasional,0,Bayar Gaji Pegawai
2026-03-24,Pesanan Grosir,Emping Pedas Manis,3,18000,90000,0,,3,Sales E-Commerce
2026-03-24,Bahan Kemasan (Pouch),,0,0,0,340493,modal,0,Restok Bahan Kemasan (Pouch)
2026-03-25,Penjualan B2C,Keripik Kaca Pedas Nampol,15,10000,270000,0,,2,Sales E-Commerce
2026-03-25,Bahan Baku (Bogor),,0,0,0,385897,operasional,0,Bayar Bahan Baku (Bogor)
2026-03-26,E-Commerce,Mie Lidi Jagung Bakar,3,5000,30000,0,,3,Beli Langsung
2026-03-26,Gaji Pegawai,,0,0,0,357035,operasional,0,Bayar Gaji Pegawai
