tanggal,kategori,nama_produk,kuantitas,hpp,pemasukan,pengeluaran,jenis_pengeluaran,jumlah_pelanggan,catatan
2026-02-06,E-Commerce,Seblak Kering Original,10,8500,160000,0,,2,Beli Langsung
2026-02-06,Pesanan Grosir,Pilus Cikur Pedas,3,7000,42000,0,,1,Sales E-Commerce
2026-02-06,E-Commerce,Keripik Singkong Balado,12,8000,180000,0,,2,Sales E-Commerce
2026-02-07,Pesanan Grosir,Keripik Singkong Balado,10,8000,150000,0,,2,Sales E-Commerce
2026-02-07,E-Commerce,Keripik Singkong Balado,5,8000,75000,0,,2,Beli Langsung
2026-02-08,Pesanan Grosir,Mie Lidi Pedas Level 5,2,5000,20000,0,,2,Sales E-Commerce
2026-02-08,Penjualan B2C,Pilus Cikur Pedas,5,7000,70000,0,,2,Sales E-Commerce
2026-02-09,Pesanan Grosir,Sus Kering Cokelat Lumer,10,15000,250000,0,,3,Beli Langsung
2026-02-09,Penjualan B2C,Sus Kering Cokelat Lumer,3,15000,75000,0,,1,Sales E-Commerce
2026-02-09,Bahan Kemasan (Pouch),,0,0,0,255832,modal,0,Restok Bahan Kemasan (Pouch)
2026-02-11,Penjualan B2C,Kacang Umpet Karamel,12,11000,240000,0,,3,Sales E-Commerce
2026-02-11,Gaji Pegawai,,0,0,0,284755,operasional,0,Bayar Gaji Pegawai
2026-02-13,Pesanan Grosir,Keripik Singkong Original,2,8000,30000,0,,3,Beli Langsung
2026-02-14,Biaya Iklan,,0,0,0,102135,operasional,0,Bayar Biaya Iklan
2026-02-16,Listrik & Air,,0,0,0,179660,operasional,0,Bayar Listrik & Air
2026-02-17,E-Commerce,Makaroni Bantet Balado,8,6000,96000,0,,1,Sales E-Commerce
2026-02-17,E-Commerce,Stik Keju Premium,5,13000,120000,0,,2,Beli Langsung
2026-02-17,Biaya Iklan,,0,0,0,283011,operasional,0,Bayar Biaya Iklan
2026-02-18,E-Commerce,Basreng Pedas Daun Jeruk,5,12000,100000,0,,1,Beli Langsung
2026-02-19,Penjualan B2C,Keripik Kaca Original,8,10000,144000,0,,3,Beli Langsung
2026-02-19,Pesanan Grosir,Basreng Original Gurih,10,12000,200000,0,,3,Beli Langsung
2026-02-20,Penjualan B2C,Makaroni Bantet Balado,5,6000,60000,0,,1,Beli Langsung
2026-02-20,Penjualan B2C,Stik Keju Premium,5,13000,120000,0,,2,Beli Langsung
2026-02-21,Penjualan B2C,Keripik Singkong Balado,8,8000,120000,0,,3,Beli Langsung
2026-02-23,Pesanan Grosir,Keripik Kaca Original,10,10000,180000,0,,2,Sales E-Commerce
2026-02-23,E-Commerce,Sus Kering Cokelat Lumer,12,15000,300000,0,,2,Beli Langsung
2026-02-23,Penjualan B2C,Keripik Kaca Original,2,10000,36000,0,,2,Sales E-Commerce
2026-02-24,Penjualan B2C,Sus Kering Cokelat Lumer,12,15000,300000,0,,2,Beli Langsung
2026-02-25,Penjualan B2C,Pilus Cikur Pedas,6,7000,84000,0,,1,Beli Langsung
2026-02-26,Bahan Baku (Bogor),,0,0,0,205789,operasional,0,Bayar Bahan Baku (Bogor)
2026-02-27,E-Commerce,Seblak Kering Pedas,3,8500,48000,0,,1,Sales E-Commerce
2026-02-27,Pesanan Grosir,Pilus Cikur Pedas,3,7000,42000,0,,1,Sales E-Commerce
2026-02-27,Pesanan Grosir,Usus Crispy Balado,10,14000,220000,0,,1,Sales E-Commerce
2026-02-27,Bahan Baku (Bogor),,0,0,0,130557,operasional,0,Bayar Bahan Baku (Bogor)
2026-02-28,E-Commerce,Sus Kering Cokelat Lumer,15,15000,375000,0,,3,Sales E-Commerce
2026-02-28,E-Commerce,Keripik Singkong Original,2,8000,30000,0,,3,Sales E-Commerce
2026-02-28,Bahan Baku (Bogor),,0,0,0,208759,operasional,0,Bayar Bahan Baku (Bogor)
2026-03-01,Biaya Iklan,,0,0,0,121149,operasional,0,Bayar Biaya Iklan
2026-03-02,Lainnya,,0,0,0,104399,lainnya,0,Bayar Lainnya
2026-03-03,E-Commerce,Stik Keju Premium,12,13000,288000,0,,3,Sales E-Commerce
2026-03-03,Penjualan B2C,Mie Lidi Pedas Level 5,2,5000,20000,0,,1,Beli Langsung
2026-03-03,Listrik & Air,,0,0,0,151163,operasional,0,Bayar Listrik & Air
2026-03-04,Penjualan B2C,Basreng Pedas Daun Jeruk,12,12000,240000,0,,2,Beli Langsung
2026-03-04,Penjualan B2C,Keripik Singkong Original,4,8000,60000,0,,2,Beli Langsung
2026-03-05,Penjualan B2C,Sus Kering Cokelat Lumer,8,15000,200000,0,,1,Beli Langsung
2026-03-05,Pesanan Grosir,Emping Pedas Manis,3,18000,90000,0,,3,Beli Langsung
2026-03-05,Penjualan B2C,Stik Keju Premium,12,13000,288000,0,,2,Beli Langsung
2026-03-06,Lainnya,,0,0,0,278262,lainnya,0,Bayar Lainnya
2026-03-07,Penjualan B2C,Usus Crispy Balado,6,14000,132000,0,,1,Sales E-Commerce
2026-03-07,Pesanan Grosir,Seblak Kering Original,2,8500,32000,0,,3,Sales E-Commerce
2026-03-07,Listrik & Air,,0,0,0,128306,operasional,0,Bayar Listrik & Air
2026-03-09,Penjualan B2C,Kacang Umpet Karamel,3,11000,60000,0,,1,Beli Langsung
2026-03-09,Lainnya,,0,0,0,141869,lainnya,0,Bayar Lainnya
2026-03-10,Pesanan Grosir,Makaroni Keju Premium,15,7500,225000,0,,1,Sales E-Commerce
2026-03-10,E-Commerce,Basreng Original Gurih,6,12000,120000,0,,1,Sales E-Commerce
2026-03-11,Penjualan B2C,Peyek Kacang Mini,9,8000,135000,0,,3,Sales E-Commerce
2026-03-11,Pesanan Grosir,Seblak Kering Pedas,6,8500,96000,0,,3,Beli Langsung
2026-03-12,Pesanan Grosir,Kacang Umpet Karamel,15,11000,300000,0,,1,Sales E-Commerce
2026-03-12,E-Commerce,Makaroni Keju Premium,4,7500,60000,0,,2,Beli Langsung
2026-03-13,E-Commerce,Stik Keju Premium,3,13000,72000,0,,1,Sales E-Commerce
2026-03-13,E-Commerce,Keripik Kaca Pedas Nampol,2,10000,36000,0,,1,Beli Langsung
2026-03-13,Listrik & Air,,0,0,0,203077,operasional,0,Bayar Listrik & Air
2026-03-14,Penjualan B2C,Usus Crispy Original,1,14000,22000,0,,1,Sales E-Commerce
2026-03-14,Pesanan Grosir,Makaroni Bantet Balado,3,6000,36000,0,,2,Sales E-Commerce
2026-03-14,Pesanan Grosir,Sus Kering Cokelat Lumer,4,15000,100000,0,,3,Sales E-Commerce
2026-03-15,E-Commerce,Usus Crispy Balado,8,14000,176000,0,,3,Beli Langsung
2026-03-15,Pesanan Grosir,Mie Lidi Pedas Level 5,6,5000,60000,0,,3,Beli Langsung
2026-03-15,Penjualan B2C,Mie Lidi Pedas Level 5,4,5000,40000,0,,2,Beli Langsung
2026-03-15,Gaji Pegawai,,0,0,0,265498,operasional,0,Bayar Gaji Pegawai
2026-03-16,Pesanan Grosir,Keripik Kaca Original,2,10000,36000,0,,3,Beli Langsung
2026-03-16,Pesanan Grosir,Stik Keju Premium,6,13000,144000,0,,1,Sales E-Commerce
2026-03-17,Penjualan B2C,Keripik Singkong Original,2,8000,30000,0,,1,Sales E-Commerce
2026-03-19,Penjualan B2C,Emping Pedas Manis,15,18000,450000,0,,3,Beli Langsung
2026-03-20,Penjualan B2C,Seblak Kering Original,10,8500,160000,0,,3,Sales E-Commerce
2026-03-20,Biaya Iklan,,0,0,0,290679,operasional,0,Bayar Biaya Iklan
2026-03-21,Pesanan Grosir,Emping Pedas Manis,3,18000,90000,0,,1,Beli Langsung
2026-03-23,Penjualan B2C,Seblak Kering Pedas,4,8500,64000,0,,1,Beli Langsung
2026-03-23,Penjualan B2C,Keripik Kaca Original,3,10000,54000,0,,3,Beli Langsung
2026-03-23,Bahan Kemasan (Pouch),,0,0,0,119542,modal,0,Restok Bahan Kemasan (Pouch)
2026-03-24,Penjualan B2C,Seblak Kering Pedas,9,8500,144000,0,,1,Sales E-Commerce
2026-03-24,Biaya Iklan,,0,0,0,163656,operasional,0,Bayar Biaya Iklan
2026-03-26,Pesanan Grosir,Pilus Cikur Pedas,5,7000,70000,0,,2,Beli Langsung
